Name	Date	Test mode	Light source/angle	L*	a*	b*	dL*	da*	db*	dE*ab	P/F dE*ab
sample_1_2025-10-14	10/14/2025 22:27:12	M0	D65/10°	90.37	-0.89	2.46	-0.21	0.00	-0.06	0.22	Pass
sample_2_2025-10-14	10/14/2025 22:27:32	M0	D65/10°	75.24	-0.36	1.12	-15.34	0.53	-1.40	15.41	NG
sample_3_2025-10-14	10/14/2025 22:27:51	M0	D65/10°	61.00	-0.22	0.77	-29.58	0.66	-1.75	29.64	NG
sample_4_2025-10-14	10/14/2025 22:28:05	M0	D65/10°	46.22	0.00	0.56	-44.36	0.88	-1.95	44.41	NG
sample_5_2025-10-14	10/14/2025 22:28:23	M0	D65/10°	30.84	0.27	0.46	-59.73	1.16	-2.06	59.78	NG
sample_6_2025-10-14	10/14/2025 22:28:44	M0	D65/10°	16.80	-0.09	-0.77	-73.78	0.79	-3.29	73.86	NG
sample_7_2025-10-14	10/14/2025 22:29:04	M0	D65/10°	47.23	-30.49	-20.55	-43.34	-29.61	-23.06	57.34	NG
sample_8_2025-10-14	10/14/2025 22:29:26	M0	D65/10°	45.89	41.59	-15.68	-44.69	42.48	-18.20	64.29	NG
sample_9_2025-10-14	10/14/2025 22:29:43	M0	D65/10°	75.79	5.33	81.08	-14.79	6.22	78.56	80.19	NG
sample_10_2025-10-14	10/14/2025 22:30:03	M0	D65/10°	34.89	49.18	25.43	-55.69	50.07	22.91	78.31	NG
sample_11_2025-10-14	10/14/2025 22:30:21	M0	D65/10°	49.44	-32.88	32.54	-41.14	-31.99	30.02	60.14	NG
sample_12_2025-10-14	10/14/2025 22:30:53	M0	D65/10°	26.17	12.87	-44.93	-64.40	13.76	-47.45	81.17	NG
sample_13_2025-10-14	10/14/2025 22:31:14	M0	D65/10°	53.74	34.70	54.00	-36.84	35.59	51.48	72.62	NG
sample_14_2025-10-14	10/14/2025 22:31:30	M0	D65/10°	36.90	7.54	-38.50	-53.68	8.43	-41.02	68.08	NG
sample_15_2025-10-14	10/14/2025 22:31:52	M0	D65/10°	45.01	41.31	12.53	-45.56	42.20	10.01	62.91	NG
sample_16_2025-10-14	10/14/2025 22:32:11	M0	D65/10°	26.98	20.92	-22.90	-63.60	21.81	-25.41	71.88	NG
sample_17_2025-10-14	10/14/2025 22:32:31	M0	D65/10°	64.81	-18.53	57.18	-25.77	-17.65	54.66	62.96	NG
sample_18_2025-10-14	10/14/2025 22:37:32	M0	D65/10°	64.03	22.67	62.95	-26.55	23.55	60.44	70.09	NG
sample_19_2025-10-14	10/14/2025 22:37:57	M0	D65/10°	65.78	-30.58	4.09	-24.79	-29.70	1.57	38.72	NG
sample_20_2025-10-14	10/14/2025 22:38:20	M0	D65/10°	51.96	6.58	-23.23	-38.62	7.46	-25.74	47.01	NG
sample_21_2025-10-14	10/14/2025 22:38:38	M0	D65/10°	37.67	-11.42	20.35	-52.91	-10.53	17.84	56.82	NG
sample_22_2025-10-14	10/14/2025 22:38:57	M0	D65/10°	47.25	-3.97	-20.63	-43.33	-3.09	-23.15	49.22	NG
sample_23_2025-10-14	10/14/2025 22:39:19	M0	D65/10°	59.88	13.78	17.15	-30.70	14.67	14.64	37.04	NG
sample_24_2025-10-14	10/14/2025 22:39:42	M0	D65/10°	32.10	12.42	12.69	-58.48	13.30	10.17	60.83	NG




Name	Date	Test mode	Light source/angle	L*	a*	b*	dL*	da*	db*	dE*ab	P/F dE*ab
sample_1_2025-10-15	10/15/2025 10:01:16	M0	D65/10°	90.29	-0.97	2.44	-0.73	-0.01	-0.04	0.74	Pass
sample_2_2025-10-15	10/15/2025 10:01:26	M0	D65/10°	75.11	-0.42	1.10	-15.91	0.54	-1.39	15.98	NG
sample_3_2025-10-15	10/15/2025 10:01:32	M0	D65/10°	60.94	-0.20	0.82	-30.08	0.76	-1.67	30.14	NG
sample_4_2025-10-15	10/15/2025 10:01:39	M0	D65/10°	45.81	-0.10	0.58	-45.21	0.86	-1.91	45.26	NG
sample_5_2025-10-15	10/15/2025 10:01:46	M0	D65/10°	30.53	0.23	0.51	-60.49	1.19	-1.97	60.53	NG
sample_6_2025-10-15	10/15/2025 10:01:52	M0	D65/10°	16.70	-0.15	-0.61	-74.32	0.82	-3.10	74.39	NG
sample_7_2025-10-15	10/15/2025 10:01:58	M0	D65/10°	47.52	-30.77	-20.73	-43.50	-29.81	-23.21	57.62	NG
sample_8_2025-10-15	10/15/2025 10:02:05	M0	D65/10°	45.75	41.54	-15.63	-45.27	42.50	-18.12	64.68	NG
sample_9_2025-10-15	10/15/2025 10:02:12	M0	D65/10°	75.37	5.17	80.77	-15.65	6.13	78.29	80.07	NG
