Name	Date	Test mode	Light source/angle	L*	a*	b*	dL*	da*	db*	dE*ab	P/F dE*ab
target_9_2025-10-12	10/12/2025 22:56:10	M0	D50/10°	94.41	-1.78	-0.39	--	--	--	--	--
sample_1_2025-10-12	10/12/2025 22:56:23	M0	D50/10°	94.12	-1.78	-0.44	-0.29	0.00	-0.05	0.29	Pass
sample_2_2025-10-12	10/12/2025 22:56:39	M0	D50/10°	91.44	-0.25	-0.74	-2.97	1.52	-0.35	3.36	NG
sample_3_2025-10-12	10/12/2025 22:56:43	M0	D50/10°	84.10	-2.17	3.48	-10.31	-0.39	3.86	11.02	NG
sample_4_2025-10-12	10/12/2025 22:56:46	M0	D50/10°	78.07	-2.99	2.98	-16.34	-1.21	3.36	16.73	NG
sample_5_2025-10-12	10/12/2025 22:56:49	M0	D50/10°	69.98	-3.27	2.72	-24.43	-1.49	3.11	24.67	NG
sample_6_2025-10-12	10/12/2025 22:56:54	M0	D50/10°	62.60	-3.20	1.61	-31.81	-1.42	1.99	31.90	NG
sample_7_2025-10-12	10/12/2025 22:56:59	M0	D50/10°	55.32	-3.07	1.44	-39.09	-1.29	1.83	39.15	NG
sample_8_2025-10-12	10/12/2025 22:57:03	M0	D50/10°	46.63	-3.48	0.70	-47.78	-1.70	1.08	47.82	NG
sample_9_2025-10-12	10/12/2025 22:57:08	M0	D50/10°	37.90	-3.52	0.79	-56.51	-1.74	1.18	56.55	NG
sample_10_2025-10-12	10/12/2025 22:57:13	M0	D50/10°	29.64	-3.29	0.17	-64.76	-1.51	0.56	64.78	NG
sample_11_2025-10-12	10/12/2025 22:57:15	M0	D50/10°	20.51	-3.23	-0.55	-73.90	-1.46	-0.17	73.92	NG
sample_12_2025-10-12	10/12/2025 22:57:19	M0	D50/10°	14.71	-5.81	-6.06	-79.70	-4.04	-5.67	80.00	NG
sample_13_2025-10-12	10/12/2025 22:57:23	M0	D50/10°	13.08	-5.81	-7.62	-81.33	-4.03	-7.23	81.75	NG
sample_14_2025-10-12	10/12/2025 22:57:30	M0	D50/10°	41.51	62.92	-26.98	-52.90	64.70	-26.59	87.70	NG
sample_15_2025-10-12	10/12/2025 22:57:33	M0	D50/10°	46.79	-68.03	22.58	-47.62	-66.25	22.96	84.76	NG
sample_16_2025-10-12	10/12/2025 22:57:35	M0	D50/10°	16.35	25.58	-57.69	-78.05	27.36	-57.30	100.62	NG
sample_17_2025-10-12	10/12/2025 22:57:38	M0	D50/10°	87.97	-4.29	86.83	-6.44	-2.51	87.21	87.49	NG
sample_18_2025-10-12	10/12/2025 22:57:42	M0	D50/10°	41.26	63.73	47.39	-53.15	65.51	47.78	96.95	NG
sample_19_2025-10-12	10/12/2025 22:57:46	M0	D50/10°	51.48	-51.11	-33.41	-42.93	-49.33	-33.03	73.26	NG
sample_20_2025-10-12	10/12/2025 22:57:49	M0	D50/10°	32.69	-7.96	-53.75	-61.71	-6.19	-53.36	81.82	NG
sample_21_2025-10-12	10/12/2025 22:57:52	M0	D50/10°	43.09	64.34	-8.57	-51.32	66.12	-8.19	84.10	NG
sample_22_2025-10-12	10/12/2025 22:57:54	M0	D50/10°	58.34	42.22	57.09	-36.07	44.00	57.47	80.87	NG
sample_23_2025-10-12	10/12/2025 22:57:56	M0	D50/10°	49.24	-67.35	6.78	-45.17	-65.57	7.17	79.95	NG
sample_24_2025-10-12	10/12/2025 22:57:58	M0	D50/10°	74.55	-31.89	65.84	-19.86	-30.12	66.23	75.42	NG
sample_25_2025-10-12	10/12/2025 22:58:01	M0	D50/10°	25.50	37.44	-48.98	-68.91	39.22	-48.59	92.99	NG
sample_26_2025-10-12	10/12/2025 22:58:04	M0	D50/10°	42.08	-61.97	16.86	-52.33	-60.19	17.25	81.60	NG
sample_27_2025-10-12	10/12/2025 22:58:10	M0	D50/10°	15.33	21.39	-51.63	-79.08	23.16	-51.24	97.03	NG
sample_28_2025-10-12	10/12/2025 22:58:12	M0	D50/10°	56.22	45.93	-26.46	-38.19	47.71	-26.07	66.44	NG
sample_29_2025-10-12	10/12/2025 22:58:15	M0	D50/10°	22.01	21.55	8.88	-72.40	23.33	9.27	76.63	NG
sample_30_2025-10-12	10/12/2025 22:58:19	M0	D50/10°	91.92	-8.64	41.28	-2.49	-6.86	41.67	42.30	NG
sample_31_2025-10-12	10/12/2025 22:58:22	M0	D50/10°	76.45	-28.06	-22.04	-17.96	-26.28	-21.66	38.50	NG
sample_32_2025-10-12	10/12/2025 22:58:25	M0	D50/10°	41.59	64.76	29.00	-52.81	66.54	29.39	89.89	NG
sample_33_2025-10-12	10/12/2025 22:58:28	M0	D50/10°	41.53	-56.51	-0.79	-52.88	-54.73	-0.40	76.10	NG
sample_34_2025-10-12	10/12/2025 22:58:30	M0	D50/10°	40.53	-5.13	24.96	-53.88	-3.35	25.34	59.64	NG
sample_35_2025-10-12	10/12/2025 22:58:33	M0	D50/10°	66.47	-49.88	6.71	-27.94	-48.10	7.10	56.08	NG
sample_36_2025-10-12	10/12/2025 22:58:35	M0	D50/10°	21.91	23.33	-20.92	-72.50	25.11	-20.53	79.42	NG
sample_37_2025-10-12	10/12/2025 22:58:37	M0	D50/10°	55.41	8.18	-36.72	-39.00	9.96	-36.33	54.22	NG
sample_38_2025-10-12	10/12/2025 22:58:39	M0	D50/10°	51.21	52.83	40.09	-43.20	54.60	40.48	80.54	NG
sample_39_2025-10-12	10/12/2025 22:58:45	M0	D50/10°	77.25	27.58	-14.25	-17.16	29.36	-13.86	36.72	NG
sample_40_2025-10-12	10/12/2025 22:58:51	M0	D50/10°	53.33	52.56	-4.43	-41.08	54.34	-4.04	68.24	NG
sample_41_2025-10-12	10/12/2025 22:58:54	M0	D50/10°	84.76	8.63	14.34	-9.65	10.40	14.73	20.45	NG
sample_42_2025-10-12	10/12/2025 22:58:56	M0	D50/10°	54.92	-40.62	37.24	-39.49	-38.84	37.63	66.96	NG
sample_43_2025-10-12	10/12/2025 22:58:57	M0	D50/10°	33.65	49.55	5.57	-60.76	51.33	5.96	79.76	NG
sample_44_2025-10-12	10/12/2025 22:59:00	M0	D50/10°	33.22	-16.65	-45.33	-61.19	-14.87	-44.94	77.36	NG
sample_45_2025-10-12	10/12/2025 22:59:02	M0	D50/10°	59.96	-53.98	42.57	-34.45	-52.20	42.96	75.88	NG
sample_46_2025-10-12	10/12/2025 22:59:04	M0	D50/10°	26.74	-33.49	3.09	-67.67	-31.71	3.48	74.81	NG
sample_47_2025-10-12	10/12/2025 22:59:06	M0	D50/10°	78.94	-30.94	52.27	-15.47	-29.16	52.66	62.15	NG
sample_48_2025-10-12	10/12/2025 22:59:09	M0	D50/10°	54.15	-30.84	-41.77	-40.26	-29.06	-41.38	64.63	NG
sample_49_2025-10-12	10/12/2025 22:59:11	M0	D50/10°	38.00	2.52	-49.92	-56.41	4.29	-49.53	75.20	NG
sample_50_2025-10-12	10/12/2025 22:59:13	M0	D50/10°	42.00	-28.83	-49.10	-52.41	-27.05	-48.71	76.49	NG
sample_51_2025-10-12	10/12/2025 22:59:16	M0	D50/10°	78.09	11.67	63.41	-16.32	13.44	63.80	67.21	NG
sample_52_2025-10-12	10/12/2025 22:59:19	M0	D50/10°	69.71	-3.00	62.56	-24.70	-1.22	62.95	67.63	NG
sample_53_2025-10-12	10/12/2025 22:59:24	M0	D50/10°	25.14	-27.61	-10.21	-69.27	-25.83	-9.82	74.57	NG
sample_54_2025-10-12	10/12/2025 22:59:27	M0	D50/10°	13.11	2.10	-24.83	-81.30	3.87	-24.44	84.98	NG
sample_55_2025-10-12	10/12/2025 22:59:29	M0	D50/10°	57.23	-47.25	31.22	-37.18	-45.47	31.61	66.70	NG
